config,rate,latency,throughput
bv_K8_adj_uniform_L20,0.001,24.6626,0.00102604
bv_K8_adj_uniform_L20,0.003,25.7004,0.0030125
bv_K8_adj_uniform_L20,0.005,26.8067,0.00497292
bv_K8_adj_uniform_L20,0.007,28.2118,0.00698229
bv_K8_adj_uniform_L20,0.01,30.6902,0.0100427
bv_K8_adj_uniform_L20,0.015,38.528,0.0149792
bv_K8_adj_uniform_L20,0.02,88.9826,0.0199979
bv_K8_adj_uniform_L20,0.025,491.498,0.0226031
bv_K8_adj_load_L20,0.001,24.9878,0.00102604
bv_K8_adj_load_L20,0.003,26.2305,0.0030125
bv_K8_adj_load_L20,0.005,27.3662,0.00497292
bv_K8_adj_load_L20,0.007,28.9724,0.00698229
bv_K8_adj_load_L20,0.01,31.9249,0.0100427
bv_K8_adj_load_L20,0.015,48.4175,0.0148813
bv_K8_adj_load_L20,0.02,307.088,0.0185312
bv_K8_adj_load_L20,0.025,464.174,0.0211
bv_K8_express_greedy_L20,0.001,23.309,0.00102604
bv_K8_express_greedy_L20,0.003,24.5909,0.0030125
bv_K8_express_greedy_L20,0.005,25.5888,0.00497396
bv_K8_express_greedy_L20,0.007,27.2655,0.00697917
bv_K8_express_greedy_L20,0.01,30.9653,0.0100396
bv_K8_express_greedy_L20,0.015,59.4236,0.0149415
bv_K8_express_greedy_L20,0.02,421.189,0.0170313
bv_K8_express_greedy_L20,0.025,809.424,0.0172719
bv_K8_adj_uniform_L30,0.001,24.6626,0.00102604
bv_K8_adj_uniform_L30,0.003,25.7004,0.0030125
bv_K8_adj_uniform_L30,0.005,26.8067,0.00497292
bv_K8_adj_uniform_L30,0.007,28.2118,0.00698229
bv_K8_adj_uniform_L30,0.01,30.6902,0.0100427
bv_K8_adj_uniform_L30,0.015,38.528,0.0149792
bv_K8_adj_uniform_L30,0.02,88.9826,0.0199979
bv_K8_adj_uniform_L30,0.025,491.498,0.0226031
bv_K8_adj_load_L30,0.001,24.6626,0.00102604
bv_K8_adj_load_L30,0.003,25.7001,0.0030125
bv_K8_adj_load_L30,0.005,26.8128,0.00497292
bv_K8_adj_load_L30,0.007,28.2044,0.00698229
bv_K8_adj_load_L30,0.01,30.6885,0.0100427
bv_K8_adj_load_L30,0.015,38.51,0.0149823
bv_K8_adj_load_L30,0.02,88.8995,0.0199995
bv_K8_adj_load_L30,0.025,471.353,0.0228313
bv_K8_express_greedy_L30,0.001,22.8693,0.00102604
bv_K8_express_greedy_L30,0.003,23.8127,0.0030125
bv_K8_express_greedy_L30,0.005,24.6126,0.00497396
bv_K8_express_greedy_L30,0.007,25.8505,0.00698021
bv_K8_express_greedy_L30,0.01,27.7635,0.0100417
bv_K8_express_greedy_L30,0.015,33.5785,0.0149854
